,branch_name,location_coordinates,contact,timings
0,"CVS Motors, Bellary Road","No 209/1, Upper Palace Orchards, Bellary Road,Sadashivanagar, Opposite to Palace Grounds Gate No 9, Bangalore - 560080",8879317604,9am to 7pm
1,"Acclaim Motors RE - Yelahanka, Yelahanka","G-1, Pyramid North Square, No.520/432, Bellary Road, Nehru Nagar, Bangalore - 560064",8879310454,9am to 7pm
2,"Teknik Royal Enfield, Indira Nagar"," 772 100ft Road, HAL 2nd Stage,  , Bangalore - 560038",8879347996,9am to 7pm
3,"HSR Services - Rajajinagar, Rajajinagar","S 1830/1831, 4th Cross, 'D' Block Dr. Rajkumar Road, Rajajinagar, Bangalore - 560010",8879329561,9am to 7pm
4,"CVS Motors - Kalyan Nagar, Kalyan Nagar","Shop No 812, 1st Block, 5th A Cross Rd, HRBR Layout,Kalyan Nagar,, Bangalore - 560043",8879320946,9am to 7pm
5,"Accelerate Motors, Kengeri Satellite Town","No 48/1, Shamanna Complex, Mysore Road,Kengeri,Near Krishna Priya Convention Hall, Bangalore - 560060",8879307581,9am to 7pm
6,"Royal Enfield Brand Store - BTM Layout, EWS Colony","No. 26, 25th Cross, BTM 2nd Stage, 29th Main Road, Opposite Madiwala Lake, Bangalore - 560076",8879303294,9am to 7pm
7,"Royal Enfield Company Store Malleswaram, Malleshwaram","UG - 75, Upper Ground, Mantri Mall, Sampige Road No- 1, Bangalore - 560003",9738078389,9am to 7pm
8,"Teknik Motors - Hoskote, Hoskote","336/2,Shiva Garden, Hoskote, Bangalore - 560017",8879353308,9am to 7pm
9,"Bommasandra Motors (A Unitof Ecm), Bommasandra Industrial Area","Plot No 235/5, Bommasandra Industrial Are, Next to Decathlon Hosur Road, Bangalore - 560099",8879317355,9am to 7pm
10,"CVS Motors - Hebbal, Hebbal","No.155, Bhadrappa Layout ,Outer Ring Road, Bangalore - 560094",8879320402,9am to 7pm
11,"Sai Ram Autocraft, Doorvaninagar","No 102/1, Outer Ring Road, B Narayanpura,DV Nagar, Bangalore - 560016",8879342910,9am to 7pm
12,"Whitefield Motors, Whitefield","#12D, Sadaramanagala Industrial Area, SY. No. 75, Sadaramanagala Village, K R Puram Hobli, Bangalore - 560066",7349770033,9am to 7pm
13,"Accelerate Motors - Rajarajeshwarinagar, Raja Rajeshwari Nagar","No 335, Ideal Homes Township, Sector B,, Bangalore - 560098",8879307350,9am to 7pm
14,"Sri Sadguru Sai Motors, T Dasarahalli","No 131/1, Limra Complex, 8th Mile, Tumkur Road,Dasarahalli,, Bangalore - 560057",8879343138,9am to 7pm
15,"Royal Enfield Company Store, Jayanagar","Door No.2067/1, 2068/2, East End ""A"" Main, 9th Block, Bangalore - 560069",7022223001,9am to 7pm
16,"HSR Services - Sudhama Nagar, Sudhama Nagar","No 132, Kantha Court, Lal Bagh Main Road, Bangalore - 560027",8879330176,9am to 7pm
17,"Teknik Motorcycles, Iblur Village","132/41/1, Sarjapur Road, Bangalore - 560102",8879346718,9am to 7pm
18,"Electronic City Motors, Singasandra","Door No 93/2, Sinda sandra, Hosur Main Road, Bangalore - 560068",8879321835,9am to 7pm
19,"Kormangala Motors, S.G. Palya","No 5, Hosur Main Road,	Krishnanagar Ind Area, Bangalore - 560029",8879339351,9am to 7pm
20,"HSR Services - Banashankari Stage II, Banashankari Stage II","No 3796	19th Main, 13th Cross	BSK 2nd Stage, Bangalore - 560070",8879323822,9am to 7pm
21,"Royal Enfield Brand Store - Jayanagar, Jayanagar","Door No 2067/1, 2068/2	East End 39, Main 9th Block, Bangalore - 560069",8879306628,9am to 7pm
22,"Sri Sadhguru Sai Motors - Nelamangala , Nelamangala","No 264, Vinayak Layout, Nelamangala,Binnamangala,, Bangalore - 562123",8879346243,9am to 7pm
23,"Torqua, Naagarabhaavi","No 20/1,Papa Reddy, Bangalore - 560072",8879853306,9am to 7pm
24,"HSR Enterprises - Kamakshipalya, Kamaksipalya","No 133, Ground Floor, Magadi Main Road, Bangalore - 560079",8879170065,9am to 7pm
25,"Jagadamba Automobiles, K R Puram","No 11, Sy No 88, Eioz Industrial Area, Sadarmangala, Hubli,, Bangalore - 560036",8879945595,9am to 7pm
26,"Sri Sadhguru Sai Motors - Dodaballapur, Doddaballapura","No 2682/1, DVV Plaza,Chikpete, D Cross Road, Bangalore - 561203",8879042879,9am to 7pm
27,"CVS Motors - Kothanur, Kothanur","No 50/4, Gubbi Cross,Hennur Main Road, Bangalore - 560077",8879126355,9am to 7pm
28,Hsr Enterprises,"S 1830/1831  4 Th Cross 'D' Block Dr  Rajkumar Road, Rajajinagar Banglore- Landmark- Near Navrang Junction, Bangalore - 560010",080 23327612,9am to 7pm
29,Hsr Services,"No 136/1,Lalbagh Road - Landmark: Opposite Garuda Maruti Showroom, Bangalore - 560027",08022711223/08041534132,9am to 7pm
30,Acclaimm Motors,"G-1 Pyramid North Square 120/142 Bellary Road Yelhanka, Bangalore - 560064",9663550055,9am to 7pm
